# 86|Перчатки ХБ с ПВХ и латексным покрытием
1|Высококачественные вязаные рабочие перчатки |382|1650 |285|265|250|||| NITRAS&nbsp;1650 <span class=art>арт. 1650</span>|</span></p><UL><LI>без шва<LI><b>с бамбуковым волокном</b><LI>с толстым латексным покрытием на ладони и кончиках пальцев<LI>покрытие &mdash; черный латекс</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1650.jpg|/img/pic/defence/big/NITRAS 1650.jpg

# 421 -># 90|Перчатки и рукавицы ТЕПЛЫЕ
1|Перчатки комбинированные с фурнитурной кожей       |421|1410W      |195|188|182|90||| NITRAS&nbsp;1410&nbsp;W <span class=art>арт. 1410W</span>|Перчатки комбинированные, утепленные искусственным мехом||/img/pic/defence/small/NITRAS 1410 W - KOZANY UTEPL.jpg|/img/pic/defence/big/NITRAS 1410 W - KOZANY UTEPL.jpg
1|Перчатки зимние трикотажные                        |421|1603W      |220|200|195|90|rp|| NITRAS&nbsp;1603&nbsp;W <span class=art>арт. 1603W</span>|</span></p><UL><LI>Перчатки зимние высококачественные трикотажные<LI>С ворсистым утеплителем, облитые рельефным латексом<LI>Эластичная резинка.</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1603 W.jpg|/img/pic/defence/big/NITRAS 1603 W.jpg

#####################################
#1|Перчатки полушерстяные с нанесением ПВХ            |90|W2         |47,00|45,00|43,00||| двойные <span class=art>арт. W2</span>|||/img/pic/defence/small/PERCHATKI POLUSHERST S PVH.jpg|/img/pic/defence/big/PERCHATKI POLUSHERST S PVH.jpg
#1|Перчатки спилковые комбинированные                 |90|ANGARA-W01 |235|220|210||| "АНГАРА" СТАНДАРТ утепленные <span class=art>арт. ANGARA-W01</span>|||/img/pic/defence/small/PERCHATKI Spilkovy STANDART.jpg|/img/pic/defence/big/PERCHATKI Spilkovy STANDART.jpg
#1|Перчатки спилковые комбинированные                 |90|1301W      |235|220|210||| NITRAS&nbsp;1301&nbsp;W <span class=art>арт. 1301W</span>|</span></p><UL><LI>Утепленные искусственным мехом</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1301 W - PERCHATKI SPILK - ZIMA.jpg|/img/pic/defence/big/NITRAS 1301 W - PERCHATKI SPILK - ZIMA.jpg
#1|Перчатки спилковые комбинированные                 |90|1302WI     |235|220|210||| NITRAS&nbsp;1302&nbsp;WI <span class=art>арт. 1302WI</span>|</span></p><UL><LI>Утепленные искусственным мехом<LI>Защита от механических повреждений</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1302 WI - PERCHATKI - ZIMA.jpg|/img/pic/defence/big/NITRAS 1302 WI - PERCHATKI - ZIMA.jpg
#1|Краги сварщика спилковые                           |90|20435W     |290|280|270||| теплые пятипалые, 35 см <span class=art>арт. 20435W</span>|</span></p><UL><LI>Утепленные мехом в качестве подкладки.<LI>Эффективно защищают работника от искр и окалины.<LI>Защитные свойства согласно стандартам Евросоюза и ГОСТ: EN&nbsp;388&nbsp;-&nbsp;4243, EN&nbsp;12477&nbsp;-&nbsp;313X4X, EN&nbsp;511&nbsp;-&nbsp;11X.</UL><p><span class="addt">||/img/pic/defence/small/sol20435W.jpg|/img/pic/defence/big/sol20435W.jpg
#1|Перчатки комбинированные с фурнитурной кожей       |90|1410W      |195|188|182||| NITRAS&nbsp;1410&nbsp;W <span class=art>арт. 1410W</span>|Перчатки комбинированные, утепленные искусственным мехом||/img/pic/defence/small/NITRAS 1410 W - KOZANY UTEPL.jpg|/img/pic/defence/big/NITRAS 1410 W - KOZANY UTEPL.jpg
#1|Перчатки зимние трикотажные                        |90|1603W      |220|200|195|rp|| NITRAS&nbsp;1603&nbsp;W <span class=art>арт. 1603W</span>|</span></p><UL><LI>Перчатки зимние высококачественные трикотажные<LI>С ворсистым утеплителем, облитые рельефным латексом<LI>Эластичная резинка.</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1603 W.jpg|/img/pic/defence/big/NITRAS 1603 W.jpg
#1|Перчатки полушерстяные с нанесением ПВХ            |90|W1|24,00|22,00|21,00|||         <span class=art>арт. W1</span>|||/img/pic/defence/small/PERCHATKI POLUSHERST S PVH.jpg|/img/pic/defence/big/PERCHATKI POLUSHERST S PVH.jpg
#1|Перчатки трикотажные зимние черные с нанесением ПВХ|90|W3|32,80|30,50|28,50||| двойные <span class=art>арт. W3</span>|||/img/pic/defence/small/PERCHATKI POLUSHERST S PVH.jpg|/img/pic/defence/big/PERCHATKI POLUSHERST S PVH.jpg
#1|Рукавицы утепленные с брезентовым наладонником|90||49,00|45|42||| <span class=art>арт. WU</span>|||/img/pic/defence/small/RUKAVIZY UTEPLENY S BREZENT NALADONNIKOM.jpg|/img/pic/defence/big/RUKAVIZY UTEPLENY S BREZENT NALADONNIKOM.jpg
#1|Рукавицы утепленные|90|DIA|48|46|44|rp|| "Диагональ" <span class=art>арт. DIA</span>|||/img/pic/defence/small/RUKAVIZY UTEPLEN DIAGONAL.jpg|/img/pic/defence/big/RUKAVIZY UTEPLEN DIAGONAL.jpg
#1|Перчатки комбинированные спилком Стандарт утепленные|90||109|-||Перчатки комбинированные спилком| утепленные|||/img/pic/defence/small/PERCHATKI Spilkovy STANDART.jpg|/img/pic/defence/big/PERCHATKI Spilkovy STANDART.jpg

#####################################
1|Высококачественные трикотажные перчатки облитые латексом|332||45||| NITRAS&nbsp;1603 (Германия), р.&nbsp;9 <span class=art>арт. 1603-S09</span>|</span></p><UL><LI>технология бесшовной вязки<LI>толстый рельефный слой латекса<LI>манжет - эластичная резинка<LI>повышенная тактильность</UL><p><span class="addt">||/img/pic/defence/small/Nitras 1603.jpg|/img/pic/defence/big/Nitras 1603.jpg
#1|Краги сварщика спилковые|332||130|||, 35 см NITRAS&nbsp;20435 <span class=art>арт. 20435</span>|</span></p><UL><LI>Защита от искр, брызг раскаленного металла, высоких температур<LI>Механически стойкие</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 20435.jpg|/img/pic/defence/big/NITRAS 20435.jpg
1|Перчатки с нитриловым каучуковым покрытием|332||44||| NITRAS&nbsp;3420: полный облив, на манжете, р.&nbsp;10 <span class=art>арт. 3420-10</span>          |</span></p><UL><LI>Механически и маслобензостойкие нитриловые перчатки.<LI>Рабочая поверхность: нитриловый каучук, гладкое покрытие.<LI>Внутренняя поверхность: ворсовая ткань из 100% хлопка.<LI>Манжет: трикотажная резинка.</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 3420.jpg|/img/pic/defence/big/NITRAS 3420.jpg
1|Перчатки с нитриловым каучуковым покрытием|332||44||| NITRAS&nbsp;3400: полуоблив, облегченные, на манжете, р.&nbsp;10 <span class=art>арт. 3400-S10</span>          |</span></p><UL><LI>Механически и маслобензостойкие нитриловые перчатки, покрытые облегченным слоем нитрила для выполнения точных и тонких операций.<LI>Рабочая поверхность: нитриловый каучук, гладкое покрытие.<LI>Внутренняя поверхность: ворсовая ткань из 100% хлопка.<LI>Манжет: вязанный, 100%хлопок.</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 3400.jpg|/img/pic/defence/big/NITRAS 3400.jpg
1|Перчатки нитриловые химически-стойкие,|332||44||| NITRAS&nbsp;3450, р.&nbsp;9 <span class=art>арт. 3450-S09</span>|</span></p><UL><LI>Защищают руки при работе с нефтепродуктами (в т.ч. бензином, керосином), минеральными маслами, пищевыми жирами, этиловым спиртом, алифатическими растворителями, с растворами кислот и щелочей.<LI>Рифленная рабочая поверхность дает высокую механическую прочность.<LI>Внутренняя поверхность - хлопковое напыление.</UL><p><span class="addt">||/img/pic/defence/small/PERCHATKI SPEZ NITRAS - 3450.jpg|/img/pic/defence/big/PERCHATKI SPEZ NITRAS - 3450.jpg
#1|Краги сварщика спилковые|332||188|bp|| NITRAS&nbsp;20435&nbsp;W, 35 см <span class=art>арт. 20435W</span>|</span></p><UL><LI>Утепленные искусственным мехом</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 20435 W.jpg|/img/pic/defence/big/NITRAS 20435 W.jpg
1|Перчатки FLAMINGO  |332||182|bp rp|| NITRAS&nbsp;16023&nbsp;W, 35 см <span class=art>арт. 16023W</span>|</span></p><UL><LI>маслобензостойкие<LI>нефтеморозостойкие</UL><p><span class="addt">||/img/pic/defence/small/FLAMINGO NITRAS 160230W - 35 mm.jpg|/img/pic/defence/big/FLAMINGO NITRAS 160230W - 35 mm.jpg
1|Перчатки FLAMINGO-K|332||182|bp rp|| NITRAS&nbsp;1602&nbsp;STW <span class=art>арт. 1602STW</span>|</span></p><UL><LI>маслобензостойкие<LI>нефтеморозостойкие<LI>жесткая крага</UL><p><span class="addt">||/img/pic/defence/small/FLAMINGO - K NITRAS 1602STW - KRAGA.jpg|/img/pic/defence/big/FLAMINGO - K NITRAS 1602STW - KRAGA.jpg

#1|Перчатки трикотажные с покрытием из полиуретана|332||41||| NITRAS&nbsp;6200 <span class=art>арт. 6200-</span>|</span></p><UL><LI>покрытие - белый гладкий полиуретан<LI>манжет - эластичная резинка<LI>основа - высококачественный трикотаж 100% нейлон</UL><span class="addt">Для общестроительных и точных производственных работ.||/img/pic/defence/small/NITRAS 6200.jpg|/img/pic/defence/big/NITRAS 6200.jpg
#1|Краги сварщика спилковые|332||155|||, 35 см, на подкладке (хлопок) NITRAS&nbsp;20535 <span class=art>арт. 20535</span>|</span></p><UL><LI>Защита от искр, брызг раскаленного металла, высоких температур<LI>Механически стойкие</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 20535.jpg|/img/pic/defence/big/NITRAS 20535.jpg
#1|Перчатки комбинированные спилком,|332||79||| класс А NITRAS&nbsp;1302 <span class=art>арт. 1302</span>|||/img/pic/defence/small/PERCHATKI KOMBINIROV NITRAS 1302.jpg|/img/pic/defence/big/PERCHATKI KOMBINIROV NITRAS 1302.jpg
#1|Перчатки комбинированные спилком |332|1301C|75||| NITRAS&nbsp;1301&nbsp;C <span class=art>арт. 1301C</span>|</span></p><UL><LI>Улучшенного качества<LI>Жесткая крага: защита от механических повреждений<LI>На запястье резинка</UL><p><span class="addt">||/img/pic/defence/small/PERCHATKI KOMBINIROV NITRAS - 1301C.jpg|/img/pic/defence/big/PERCHATKI KOMBINIROV NITRAS - 1301C.jpg
#1|Перчатки с нитриловым каучуковым покрытием|332||55||| NITRAS&nbsp;3440: полный облив, на краге      <span class=art>арт. 3440</span>          |</span></p><UL><LI>Механически и маслобензостойкие нитриловые перчатки.<LI>Рабочая поверхность: нитриловый каучук, гладкое покрытие.<LI>Внутренняя поверхность: ворсовая ткань из 100% хлопка.<LI>Манжет: жесткая крага.</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 3440.jpg|/img/pic/defence/big/NITRAS 3440.jpg
#1|Краги сварщика спилковые|89||110|104|98|||, 35 см, 3-палые NITRAS&nbsp;20935 S <span class=art>арт. WG-N-018</span>|||/img/pic/defence/small/KRAGi 3 palye 20935S NITRAS.jpg|/img/pic/defence/big/KRAGi 3 palye 20935S NITRAS.jpg
#1|Перчатки ПРЕМИУМ с нитриловым каучуковым покрытием|87||99,00|96|96||| NITRAS&nbsp;3420: полный облив, на манжете    <span class=art>арт. 3420-P</span>          |Высококачественные перчатки с улучшенным нитриловым покрытием для защиты от тяжелых механических воздействий, стойкие к порезам, истиранию, проколам.||/img/pic/defence/small/n3420p.jpg|/img/pic/defence/big/-n3420p.jpg
#1|Перчатки с нитриловым каучуковым покрытием|87||61,00|||| NITRAS&nbsp;3430: полуоблив, на краге         <span class=art>арт. 3430</span>          |Механически и маслобензостойкие.||/img/pic/defence/small/n3430.jpg|/img/pic/defence/big/-n3430.jpg
#1|Перчатки с нитриловым каучуковым покрытием|87||66,00|61|61||| NITRAS&nbsp;3410: полуоблив, на манжете       <span class=art>арт. 3410</span>          |Механически и маслобензостойкие.||/img/pic/defence/small/n3410.jpg|/img/pic/defence/big/-n3410.jpg
#1|Перчатки с нитриловым каучуковым покрытием|87||59,00|-||| NITRAS&nbsp;3400&nbsp;V: полный облив, облегченные, на манжете <span class=art>арт. </span>|Механически и маслобензостойкие, возможность точных операций.||/img/pic/defence/small/n3400v.jpg|/img/pic/defence/big/-n3400v.jpg
#1|Перчатки латексные общего назначения|88||45,00|41|41||| NITRAS&nbsp;3220 <span class=art>арт. 3220</span>|||/img/pic/defence/small/NITRAS 3220 - spez.jpg|/img/pic/defence/big/NITRAS 3220 - spez.jpg
#1|Перчатки FLAMINGO-M|90||182|bp rp|| NITRAS&nbsp;1602&nbsp;SSW <span class=art>арт. 1602SSW</span>|</span></p><UL><LI>маслобензостойкие<LI>нефтеморозостойкие<LI>манжет</UL><p><span class="addt">||/img/pic/defence/small/FLAMINGO - M NITRAS 1602SSW - manjet.jpg|/img/pic/defence/big/FLAMINGO - M NITRAS 1602SSW - manjet.jpg

# 264|Маска сварщика
 1|Маска сварщика                                         |264|EUR-0120| 129,00| 125,00| 122,00||norow|| "Евростандарт" пластиковая СВОНА, стекло 110х90 мм <span class=art>арт. EUR-0120</span>|</span></p><UL><LI>Корпус маски изготовлен из полипропилена марки <b>22-01-5С</b>, который является безопасным при воздействии высоких температур и самозатухающим.<LI>Светофильтр, установленный в маску, легко заменяется в случае повреждения, в том числе на самозатемняющийся.<LI>Стекло размером <b>110х90 мм</b> крепится с помощью уплотнительной резинки и демонтируется без применения специальных инструментов.<LI>Маска удобно фиксируется на голове с помощью <b>регулируемого реечного крепления</b> и не соскальзывает.<LI>Большой щиток специальной формы исключает попадание на лицо искр и предусматривает достаточный приток воздуха, обеспечивая <b>длительную комфортную работу</b>.</UL><p><span class="addt">||/img/pic/defence/small/mask_svona.jpg|/img/pic/defence/big/mask_svona.jpg
 0|Маска сварщика "Евростандарт" пластиковая СВОНА        |264|EUR-0120| 129,00| 125,00| 122,00|
#1|Маска электросварщика                                  |264|89122   | 235,00| 220,00| 210,00||norow|| пластиковая с откидным блоком светофильтра, SiB <span class=art>арт. 89122</span>|</span></p><UL><LI>Размер смотрового стекла 110 x 90 мм.<LI>Степень затемнения светофильтра DIN 10.</UL>||/img/pic/defence/small/89122.jpg|/img/pic/defence/big/89122.jpg
#0|Маска электросварщика с откидным блоком светофильтра   |264|89122   | 235,00| 220,00| 210,00|
 1|Маска сварщика                                         |264|FOX-0311|1098,00|1075,00|1055,00||norow|| КОРУНД "Прима" АСФ 3/11 (Foxweld) <span class=art>арт. FOX-0311</span>|</span></p><UL><LI>Автоматически затемняемый светофильтр (АСФ) со степенью затемнения от 3 до 11 DIN.<LI>2 независимых фотодатчика, время срабатывания: 0.0002 - 0.0005с. Регулировка чувствительности: режимы "сварка" и "резка".<LI>Питание от солнечных батарей; имеется встроенный аккумулятор.<LI>Установочные размеры светофильтра 110&nbsp;&#215;&nbsp90&nbsp;&#215;&nbsp9&nbsp;мм. Размер смотрового окна 98&nbsp;&#215;&nbsp35&nbsp;мм. Вес 490&nbsp;г.</UL><p><span class="addt">||/img/pic/defence/small/maska_korund_prima_asf_3_11.jpg|/img/pic/defence/big/maska_korund_prima_asf_3_11.jpg
 0|Маска сварщика КОРУНД "Прима" АСФ 3/11 (Foxweld)       |264|FOX-0311|1098,00|1075,00|1055,00|
#1|Маска сварщика                                         |264|89131   |2650,00|2560,00|2490,00||norow|| MATRIX "Optimal" с автозатемнением <span class=art>арт. 89131</span>|||/img/pic/defence/small/89131.jpg|/img/pic/defence/big/89131.jpg
#0|Маска сварщика с автозатемнением MATRIX "Optimal"      |264|89131   |2950,00|2910,00|2860,00|
 1|Очки газосварщика                                      |264|GAZ.2   |  72,98|  69,98|  63,98||norow|| 3H1-Г2 <span class=art>арт. GAZ.2</span>|</span><span class="for">Для защиты от ярких вспышек, искр, пыли и других опасных мелких частиц</span></p><UL><LI>Стекла в этой модели заменяются буквально за несколько секунд, это можно сделать без отрыва от работы. Сварщик может самостоятельно выбрать тип светофильтра — Г1, Г2, Г3.<LI>В очках защитных 3Н1Г2 устанавливаются минеральные стекла первого класса оптики, что обеспечивает надежную защиту даже от самого яркого света, при этом глаза не напрягаются, не устают, зрение не ухудшается.<LI>Корпус выполнен из винилискожи, он приятный на ощупь и полностью закрывает зону глаз со всех сторон, плотно прилегая к лицу. Он термоустойчив, ему не страшны искры и повреждения, а несколько рядов отверстий на нем обеспечивают хорошую вентиляцию.<LI>Плотная эластичная резинка, которой закрепляются защитные очки 3Н1Г2, позволяет надежно зафиксировать их в одном положении. Резинка не порвется и не создаст непредвиденных ситуаций.</UL><p><span class="addt">||/img/pic/defence/small/zn1-2.jpg|/img/pic/defence/big/zn1-2.jpg
 0|Очки газосварщика 3H1-Г2                               |264|GAZ.2   |  72,98|  69,98|  63,98|
#1|Очки газосварщика с откидными стеклами                 |264|22-3-010|  89,00|  85,00|  78,00||norow|| (Россия) <span class=art>арт. 22-3-010</span>|||/img/pic/defence/small/OCHKI GAZOSVARSHIKA OTKIDNY STEKLA.jpg|/img/pic/defence/big/OCHKI GAZOSVARSHIKA OTKIDNY STEKLA.jpg
#0|Очки газосварщика с откидными стеклами                 |264|22-3-010|  89,00|  85,00|  78,00|
 1|Очки газосварщика закрытого типа                       |264|89149   | 128,00| 122,00| 118,00||norow||, с непрямой вентиляцией <span class=art>арт. 89149</span>|Материал линзы – ударопрочный поликарбонат – гарантирует максимальную защиту органов зрения при проведении работ.||/img/pic/defence/small/89149.jpg|/img/pic/defence/big/89149.jpg
 0|Очки газосварщика закрытого типа с непрямой вентиляцией|264|89149   | 128,00| 122,00| 118,00|
#1|Очки газосварщика с откидными стеклами                 |264|89148   | 118,00| 112,00| 108,00||norow|| MATRIX <span class=art>арт. 89148</span>|||/img/pic/defence/small/OCHKI GAZOSVARSHIKA OTKIDNY STEKLA.jpg|/img/pic/defence/big/OCHKI GAZOSVARSHIKA OTKIDNY STEKLA.jpg
#0|Очки газосварщика с откидными стеклами MATRIX          |264|89148   | 118,00| 112,00| 108,00||
 1|Стекла для маски сварщика                              |264|J69121  |  29,00|  27,00|  24,00||norow|||||/img/pic/defence/small/glass.jpg|/img/pic/defence/big/jpg
 0|Стекло для маски сварщика 110 &#215; 90 DIN &numsp;8   |264|DIN.08.2|  29,00|  27,00|  24,00|
 0|Стекло для маски сварщика 110 &#215; 90 DIN &numsp;9   |264|DIN.09.2|  29,00|  27,00|  24,00|
 0|Стекло для маски сварщика 110 &#215; 90 DIN       10   |264|DIN.10.2|  29,00|  27,00|  24,00|
 0|Стекло для маски сварщика 110 &#215; 90 DIN       11   |264|DIN.11.2|  29,00|  27,00|  24,00|
 0|Стекло для маски сварщика 110 &#215; 90 прозрачное     |264|GL-T    |  12,90|  11,90|  11,20|
 0|Стекло для маски сварщика 121 &#215; 69 № 3            |264|DIN.08  |  29,00|  27,00|  24,00||blkt2
 0|Стекло для маски сварщика 121 &#215; 69 № 4            |264|DIN.09  |  29,00|  27,00|  24,00|
 0|Стекло для маски сварщика 121 &#215; 69 № 5            |264|DIN.10  |  29,00|  27,00|  24,00|

# 263|Очки защитные
 1|Очки защитные открытого типа прозрачные            |263|LU.CS        | 39,00| 38,00| 37,00||norow|| "Люцерна" <span class=art>арт. LU.CS</span>|</span></p><UL><LI>Защитные очки предназначены для предотвращения механического поражения глаз от брызг строительных растворов и летящих твердых частиц.<LI>Изготовлены из ударопрочного поликарбоната.<LI>Имеют верхнюю и боковую защиту.<LI>Широкий панорамный обзор. Без ограничения по сроку ношения.</UL><p><span class="addt">||/img/pic/defence/small/lucern_n.jpg|/img/pic/defence/big/lucern_n.jpg
 0|Очки защитные открытого типа "Люцерна"   прозрачные|263|LU.CS        | 39,00| 38,00| 37,00|
 1|Очки защитные открытого типа бесцветные            |263|1501-48.00.00| 94,00| 91,00| 87,00||norow|| HARDY (Польша) <span class=art>арт. 1501-48.00.00</span>|</span><span class="for">Для предотвращения механического поражения глаз от брызг строительных растворов и летящих твердых частиц</span></p><UL><LI>Класс защиты <b>F</b>.<LI>Устойчивость к ударам до <b>45 м/с</b>.</UL><p><span class="addt">||/img/pic/defence/small/1501-480000.jpg|/img/pic/defence/big/1501-480000.jpg
 0|Очки защитные открытого типа бесцветные HARDY      |263|1501-48.00.00| 94,00| 91,00| 87,00|
 1|Очки защитные закрытого типа с непрямой вентиляцией|263|89160        | 52,00| 50,00| 48,00||norow|||</span></p><UL><LI>Стекло - 2-миллиметровый ударопрочный поликарбонат.<LI>Специальные клапаны особой конструкции предохраняют от запотевания.</UL><p><span class="addt">||/img/pic/defence/small/89160.jpg|/img/pic/defence/big/89160.jpg
 0|Очки защитные закр. с непрямой вентиляцией MATRIX  |263|89160        | 52,00| 50,00| 48,00||
 1|Очки защитные закрытого типа с прямой вентиляцией  |263|CSG.I        | 39,00| 38,00| 37,00||norow|| "Исток" <span class=art>арт. CSG.I</span>|||/img/pic/defence/small/CSG.jpg|/img/pic/defence/big/CSG.jpg
 0|Очки защитные закр. типа с прямой вентил. "Исток"  |263|CSG.I        | 39,00| 38,00| 37,00|
#1|Очки защитные закрытого типа с прямой вентиляцией  |263|89161        | 49,00| 47,00| 45,00||norow|| SiB <span class=art>арт. 89161</span>|</span></p><UL><LI>Очки с прямой вентиляцией обеспечивают защиту глаз от воздействия стружки и других твердых частиц, а также от прямого попадания пыли в подочечное пространство.<LI>Анатомическая форма обтюратора обеспечивает идеальное прилегание изделия к лицу.<LI>Материал линзы – ударопрочный поликарбонат - гарантирует максимальную защиту глаз при проведении работ.</UL><p><span class="addt">||/img/pic/defence/small/89161.jpg|/img/pic/defence/big/89161.jpg
#0|Очки защитные закрытого типа с прямой вентиляцией  |263|89161        | 49,00| 47,00| 45,00||||
 1|Щиток защитный                                     |263|PSH1         |135,00|131,00|127,00||norow|| НБТ-1 "Исток" <span class=art>арт. PSH1</span>|</span></p><UL><LI>Предназначен для защиты глаз и лица от воздействия твердых частиц и брызг неагрессивных жидкостей.<LI>Изготовлен из органического стекла (полистирол толщиной 2 мм).<LI>Легкозаменяемое стекло сочетается с любыми очками и респираторами. Длина защитного экрана 20см.</UL><p><span class="addt">||/img/pic/defence/small/SCHITOK SVARSZIKA.jpg|/img/pic/defence/big/SCHITOK SVARSZIKA.jpg
 0|Щиток защитный НБТ-1 "Исток"                       |263|PSH1         |135,00|131,00|127,00|
 1|Щиток защитный                                     |263|89124        |239,00|239,00|239,00||norow sale1|| НБТ 400 х 240 (высота) мм, поликарбонат, СИБРТЕХ <span class=art>арт. 89124</span>|</span></p><UL><LI>Щиток из прозрачного поликарбоната для защиты лица и глаз от механических повреждений во время работы.<LI>Эффективно защищает от искр при работе болгаркой, от разлетающихся камней при работе перфоратором или отбойником и в прочих работах.</UL><p><span class="addt">||/img/pic/defence/small/sib89124.jpg|/img/pic/defence/big/sib89124.jpg
 0|Щиток защитный НБТ 400 х 240, СИБРТЕХ              |263|89124        |239,00|239,00|239,00|
 1|Щиток защитный                                     |263|89125        |169,00|169,00|169,00||norow sale1|| 300 х 200(высота) мм, полистирол, СИБРТЕХ <span class=art>арт. 89125</span>|</span></p><UL><LI>Защитный лицевой щиток из оптически прозрачного полистирола толщиной 2 мм, устойчивый к воздействию искр и брызг расплавленного металла, высоким температурам, царапанию и истиранию.<LI>Эффективно защищает глаза и лицо от искр при работе болгаркой, от разлетающихся камней при работе перфоратором или отбойником и в прочих работах.</UL><p><span class="addt">||/img/pic/defence/small/sib89125.jpg|/img/pic/defence/big/sib89125.jpg
 0|Щиток защитный 300 х 200, СИБРТЕХ                  |263|89125        |169,00|169,00|169,00|
#1|Очки защитные закрытого типа с непрямой вентиляцией|263|ISG.1        | 39,00| 38,00| 37,00||norow|| ИСТОК  <span class=art>арт. ISG.1</span>|||/img/pic/defence/small/isg1.jpg|/img/pic/defence/big/isg1.jpg
#0|Очки защитные закр. с непрямой вентиляцией ИСТОК   |263|ISG.1        | 39,00| 38,00| 37,00|
